Cam1,x,y
1, 1545,1268
2, 1922,1202
3, 1879,1396
4, 1523,1473
5, 2426,1356
6, 2610,1358
7, 2694,1079
8, 2496,1075
9, 2248,1212
10, 2214,1410
11, 2022,958
12, 2454,894
13, 1502,1088
14, 1822,1060
15, 152,1354
16, 204,1238
17, 1277,962
18, 1114,967
20, 1366,786
21, 1178,797
Cam2,x,y
1, 186,1408
2, 664,1418
3, 710,1643
4, 256,1627
5, 1599,1780
6, 1866,1856
7, 1927,1468
8, 1644,1410
9, 1093,1504
10, 1095,1767
11, 1155,1167
12, 1917,1171
13, 548,1230
14, 919,1245
17, 921,1082
18, 776,1068
20, 1117,922
21, 927,911
Cam5,x,y
11, 915,602
12, 550,726
13, 1153,595
14, 1019,631
15, 1370,491
16, 1455,516
17, 1573,822
18, 1663, 786
20, 1724,804
21, 1811,741
22, 2141,891
23, 2056,1042
24, 1951,964
25, 1956,835
26, 1885,1125
27, 1806,1097
28, 1741,1308
29, 1588,1238
30, 1525,1290
31, 1682,1364
32, 1920,1576
33, 1406,1595
34, 601,917
35, 900,699
36, 1032,739
37, 1162,693
Cam6,x,y
11, 1488,689
12, 1097,660
13, 1795,782
14, 1601,759
15, 2307,797
16, 2402,860
20, 1863,1139
21, 2224,1181
23, 2206,1856
24, 2094,1585
25, 2156,1363
26, 1640,1641
27, 1625,1539
28, 1022,1523
29, 1083,1381
30, 944,1349
31, 863,1479
32, 694,1875
33, 571,1451
34, 1130,837
35, 1474,783
36, 1585,866
37, 1770,889
38, 2189,825
Cam7,x,y
11,1324,614
12, 1052,611
13, 1576,673
14, 1418,664
15, 2184,669
20, 1008,852
21, 1233,883
22, 1407,1467
23, 865,1273
24, 934,1125
25, 936,956
26, 718,1132
27, 785,1096
28, 479,1030
29, 600,989
30, 550,966
31, 428,1003
34, 1116,752
36, 1418,762
37, 1570,777
38, 2011,696
